ID_CLIENTE,SAFRA_REF,DATA_EMISSAO_DOCUMENTO,DATA_PAGAMENTO,DATA_VENCIMENTO,VALOR_A_PAGAR,TAXA,RENDA_MES_ANTERIOR,NO_FUNCIONARIOS,DATA_CADASTRO,FLAG_PF,SEGMENTO_INDUSTRIAL,DOMINIO_EMAIL,PORTE,CEP_2_DIG
1661240395903230676,2018-08,2018-08-17,2018-09-06,2018-09-06,35516.41,6.99,217640.0,115.0,2013-08-22,Juridico,Serviços,YAHOO,PEQUENO,65
1661240395903230676,2018-08,2018-08-19,2018-09-11,2018-09-10,17758.21,6.99,217640.0,115.0,2013-08-22,Juridico,Serviços,YAHOO,PEQUENO,65
1661240395903230676,2018-08,2018-08-26,2018-09-18,2018-09-17,17431.96,6.99,217640.0,115.0,2013-08-22,Juridico,Serviços,YAHOO,PEQUENO,65
1661240395903230676,2018-08,2018-08-30,2018-10-11,2018-10-05,1341.0,6.99,217640.0,115.0,2013-08-22,Juridico,Serviços,YAHOO,PEQUENO,65
1661240395903230676,2018-08,2018-08-31,2018-09-20,2018-09-20,21309.85,6.99,217640.0,115.0,2013-08-22,Juridico,Serviços,YAHOO,PEQUENO,65
8274986328479596038,2018-08,2018-08-17,2018-09-25,2018-09-25,48811.35,6.99,260432.0,117.0,2017-01-25,Juridico,Comércio,YAHOO,MEDIO,77
345447888460137901,2018-08,2018-08-17,2018-09-05,2018-09-05,55131.2,5.99,243001.0,115.0,2000-08-15,Juridico,Serviços,HOTMAIL,PEQUENO,48
1003144834589372198,2018-08,2018-08-17,2018-09-03,2018-09-03,85855.04,6.99,217640.0,115.0,2017-08-06,Juridico,Serviços,OUTLOOK,PEQUENO,89
324916756972236008,2018-08,2018-08-17,2018-09-03,2018-09-03,42072.0,5.99,247027.0,122.0,2011-02-14,Juridico,Serviços,GMAIL,GRANDE,62
324916756972236008,2018-08,2018-08-19,2018-09-05,2018-09-05,21071.97,5.99,247027.0,122.0,2011-02-14,Juridico,Serviços,GMAIL,GRANDE,62
324916756972236008,2018-08,2018-08-20,2018-09-06,2018-09-06,34539.46,5.99,247027.0,122.0,2011-02-14,Juridico,Serviços,GMAIL,GRANDE,62
324916756972236008,2018-08,2018-08-21,2018-09-10,2018-09-10,54977.25,5.99,247027.0,122.0,2011-02-14,Juridico,Serviços,GMAIL,GRANDE,62
324916756972236008,2018-08,2018-08-28,2018-09-14,2018-09-14,30748.43,5.99,247027.0,122.0,2011-02-14,Juridico,Serviços,GMAIL,GRANDE,62
324916756972236008,2018-08,2018-08-28,2018-09-14,2018-09-14,17270.23,5.99,247027.0,122.0,2011-02-14,Juridico,Serviços,GMAIL,GRANDE,62
324916756972236008,2018-08,2018-08-28,2018-09-14,2018-09-14,39237.83,5.99,247027.0,122.0,2011-02-14,Juridico,Serviços,GMAIL,GRANDE,62
324916756972236008,2018-08,2018-08-31,2018-09-17,2018-09-17,91751.03,5.99,247027.0,122.0,2011-02-14,Juridico,Serviços,GMAIL,GRANDE,62
324916756972236008,2018-08,2018-08-31,2018-09-17,2018-09-17,60167.05,5.99,247027.0,122.0,2011-02-14,Juridico,Serviços,GMAIL,GRANDE,62
324916756972236008,2018-09,2018-09-02,2018-09-19,2018-09-19,21499.85,5.99,203123.0,103.0,2011-02-14,Juridico,Serviços,GMAIL,GRANDE,62
324916756972236008,2018-09,2018-09-03,2018-09-19,2018-09-19,17690.72,5.99,203123.0,103.0,2011-02-14,Juridico,Serviços,GMAIL,GRANDE,62
324916756972236008,2018-09,2018-09-13,2018-10-01,2018-10-01,17240.9,5.99,203123.0,103.0,2011-02-14,Juridico,Serviços,GMAIL,GRANDE,62
324916756972236008,2018-09,2018-09-14,2018-10-01,2018-10-01,21474.5,5.99,203123.0,103.0,2011-02-14,Juridico,Serviços,GMAIL,GRANDE,62
4679462479444735708,2018-08,2018-08-17,2018-09-03,2018-09-03,10508.1,8.99,239443.0,125.0,2000-08-15,Juridico,Indústria,HOTMAIL,GRANDE,19
4679462479444735708,2018-08,2018-08-21,2018-09-10,2018-09-10,10900.95,8.99,239443.0,125.0,2000-08-15,Juridico,Indústria,HOTMAIL,GRANDE,19
4679462479444735708,2018-08,2018-08-22,2018-09-10,2018-09-10,10900.95,8.99,239443.0,125.0,2000-08-15,Juridico,Indústria,HOTMAIL,GRANDE,19
4679462479444735708,2018-08,2018-08-23,2018-09-10,2018-09-10,10900.95,8.99,239443.0,125.0,2000-08-15,Juridico,Indústria,HOTMAIL,GRANDE,19
4679462479444735708,2018-08,2018-08-26,2018-09-11,2018-09-11,11201.0,8.99,239443.0,125.0,2000-08-15,Juridico,Indústria,HOTMAIL,GRANDE,19
4679462479444735708,2018-09,2018-09-07,2018-09-24,2018-09-24,17354.3,8.99,53021.0,120.0,2000-08-15,Juridico,Indústria,HOTMAIL,GRANDE,19
1276604410881911401,2018-08,2018-08-17,2018-12-31,2018-12-05,125.56,6.99,235928.0,113.0,2000-08-15,Juridico,Indústria,YAHOO,PEQUENO,38
1276604410881911401,2018-08,2018-08-17,2018-10-04,2018-09-19,148334.09,6.99,235928.0,113.0,2000-08-15,Juridico,Indústria,YAHOO,PEQUENO,38
1276604410881911401,2018-08,2018-08-20,2018-12-31,2018-12-05,4545.52,6.99,235928.0,113.0,2000-08-15,Juridico,Indústria,YAHOO,PEQUENO,38
1276604410881911401,2018-08,2018-08-20,2018-09-12,2018-09-26,75827.62,6.99,235928.0,113.0,2000-08-15,Juridico,Indústria,YAHOO,PEQUENO,38
1276604410881911401,2018-08,2018-08-21,2018-09-19,2018-10-03,144761.82,6.99,235928.0,113.0,2000-08-15,Juridico,Indústria,YAHOO,PEQUENO,38
1276604410881911401,2018-08,2018-08-26,2018-09-19,2018-10-03,157405.05,6.99,235928.0,113.0,2000-08-15,Juridico,Indústria,YAHOO,PEQUENO,38
1276604410881911401,2018-08,2018-08-28,2018-09-26,2018-10-10,151655.24,6.99,235928.0,113.0,2000-08-15,Juridico,Indústria,YAHOO,PEQUENO,38
1276604410881911401,2018-08,2018-08-28,2018-09-19,2018-10-03,76953.58,6.99,235928.0,113.0,2000-08-15,Juridico,Indústria,YAHOO,PEQUENO,38
1276604410881911401,2018-09,2018-09-03,2018-10-18,2018-10-10,148334.09,6.99,97117.0,79.0,2000-08-15,Juridico,Indústria,YAHOO,PEQUENO,38
1276604410881911401,2018-09,2018-09-13,2018-10-04,2018-10-17,151655.24,6.99,97117.0,79.0,2000-08-15,Juridico,Indústria,YAHOO,PEQUENO,38
8123515208041701633,2018-08,2018-08-17,2018-09-03,2018-09-03,30460.82,5.99,243001.0,115.0,2011-02-14,Juridico,Serviços,GMAIL,PEQUENO,26
8123515208041701633,2018-08,2018-08-21,2018-09-06,2018-09-06,61249.8,5.99,243001.0,115.0,2011-02-14,Juridico,Serviços,GMAIL,PEQUENO,26
8123515208041701633,2018-08,2018-08-24,2018-09-10,2018-09-10,76765.5,5.99,243001.0,115.0,2011-02-14,Juridico,Serviços,GMAIL,PEQUENO,26
8123515208041701633,2018-08,2018-08-30,2018-10-05,2018-10-05,945.6,5.99,243001.0,115.0,2011-02-14,Juridico,Serviços,GMAIL,PEQUENO,26
8123515208041701633,2018-08,2018-08-30,2018-09-17,2018-09-17,32146.21,5.99,243001.0,115.0,2011-02-14,Juridico,Serviços,GMAIL,PEQUENO,26
8123515208041701633,2018-09,2018-09-13,2018-10-01,2018-10-01,38550.0,5.99,142410.0,72.0,2011-02-14,Juridico,Serviços,GMAIL,PEQUENO,26
4530631557358349711,2018-08,2018-08-17,2018-09-03,2018-09-03,107187.16,11.99,201721.0,115.0,2000-08-15,Juridico,Serviços,HOTMAIL,PEQUENO,55
4530631557358349711,2018-08,2018-08-21,2018-09-06,2018-09-06,99789.75,11.99,201721.0,115.0,2000-08-15,Juridico,Serviços,HOTMAIL,PEQUENO,55
4530631557358349711,2018-08,2018-08-26,2018-09-11,2018-09-11,23311.2,11.99,201721.0,115.0,2000-08-15,Juridico,Serviços,HOTMAIL,PEQUENO,55
4530631557358349711,2018-08,2018-08-29,2018-09-14,2018-09-14,53230.75,11.99,201721.0,115.0,2000-08-15,Juridico,Serviços,HOTMAIL,PEQUENO,55
4530631557358349711,2018-08,2018-08-31,2018-09-17,2018-09-17,32393.95,11.99,201721.0,115.0,2000-08-15,Juridico,Serviços,HOTMAIL,PEQUENO,55
4530631557358349711,2018-09,2018-09-09,2018-09-24,2018-09-25,37241.2,11.99,185040.0,101.0,2000-08-15,Juridico,Serviços,HOTMAIL,PEQUENO,55
3668905663669864663,2018-08,2018-08-17,2018-09-03,2018-09-03,21476.35,8.99,268258.0,119.0,2011-02-14,Juridico,Comércio,BOL,GRANDE,87
3668905663669864663,2018-08,2018-08-30,2018-09-17,2018-09-17,65259.84,8.99,268258.0,119.0,2011-02-14,Juridico,Comércio,BOL,GRANDE,87
3668905663669864663,2018-09,2018-09-10,2018-09-27,2018-09-27,51354.65,8.99,331138.0,137.0,2011-02-14,Juridico,Comércio,BOL,GRANDE,87
7041489327620930099,2018-08,2018-08-17,2018-09-03,2018-09-03,33660.0,6.99,246197.0,122.0,2018-03-27,Juridico,Serviços,HOTMAIL,GRANDE,37
7041489327620930099,2018-08,2018-08-28,2018-09-14,2018-09-14,32668.25,6.99,246197.0,122.0,2018-03-27,Juridico,Serviços,HOTMAIL,GRANDE,37
7041489327620930099,2018-08,2018-08-30,2018-10-22,2018-10-05,1182.0,6.99,246197.0,122.0,2018-03-27,Juridico,Serviços,HOTMAIL,GRANDE,37
3118152790263512426,2018-08,2018-08-17,2018-09-10,2018-09-10,14993.27,5.99,236787.5,117.93810019518543,2000-08-15,Juridico,Serviços,OUTLOOK,MEDIO,22
3118152790263512426,2018-08,2018-08-17,2018-09-10,2018-09-10,24066.07,5.99,236787.5,117.93810019518543,2000-08-15,Juridico,Serviços,OUTLOOK,MEDIO,22
3118152790263512426,2018-08,2018-08-18,2018-09-11,2018-09-11,23563.07,5.99,236787.5,117.93810019518543,2000-08-15,Juridico,Serviços,OUTLOOK,MEDIO,22
